ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT090,Durómetro,25/05/2021,25/05/2022,05/05/2022,Activo,EXTERNO,1.0 HRC/B/0.5HRN/T,1.0 HRC/B/0.5HRN/T,0,100HRC/B,10602,CERTIFICADO,tecnicos de Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT091,Calibrador de alturas,13/08/2020,13/08/2021,24/07/2021,Activo,EXTERNO,".0005""",".0005""",0,24¨,3001358,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT092,"Micrómetro 0 A 1""",15/04/2021,15/04/2022,26/03/2022,Activo,INTERNO,".0005""",".0005""",0,"1""",5051957,INT062,Laboratorio,Metrologia,Metrología ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT093,"Micrómetro 0 A 1""",15/04/2021,15/04/2022,26/03/2022,Activo,INTERNO,0.0001,0.0001,0,"1""",5051942,INT062,Pedro Esparza,Pedro Esparza,Set-up estampados,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT095,"Calibrador digital 0 A 6""",23/04/2020,23/04/2021,03/04/2021,Reparacion,INTERNO,0.0005,0.0005,0,"6""",11092717,INT062,tecnicos de Calidad,tecnicos de Calidad,Metrología ,N/A,,Reparacion,,,0,1,365.00,,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,43937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT097,Calibrador digital,02/05/2019,01/05/2020,11/04/2020,Baja,INTERNO,0.0005,0.0005,0,"6""",,INT062,Mario González,Mario González,Automatización ,N/A,,Baja,,Ya no se encontro,0,1,365.00,,,40851,3 de November del 2012,R&R Pendiente,R&R Actualizado,,43580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT101,Micrómetro de puntas  ,15/01/2021,15/01/2022,26/12/2021,Activo,INTERNO,0.0005,0.0005,"0""","1""",66770422,INT062,Calidad,Calidad,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,24 de February del 2012,24 de February del 2012,R&R Pendiente,365,,8 de January del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT104,Micrómetro de puntas  ,18/07/2018,18/07/2019,28 de junio del 2019,Reparacion,INTERNO,0,0.0001,"0""","1""",,INT062,Calidad,Carlos Patiño,Metrología,N/A,,reparacion,,,1,1,365.00,180.00,,,11 de febrero del 2015,10 de agosto del 2015,R&R Actualizado,365,,11 de julio del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT107,Hypot ULTRAIII/ AC Hipot,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,na,na,0,127,9380719,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,,na,,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,41044,15 de May del 2013,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT109,Micrometro Digital,09/03/2021,09/03/2022,17/02/2022,Activo,INTERNO,0.0005,0.0005,0,"1""",85268244,INT062,Calidad,Calidad,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,,,41061,1 de June del 2013,R&R Pendiente,R&R Actualizado,,44257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT111,Hypot ULTRA III,15/01/2021,15/01/2022,26/12/2021,Activo,EXTERNO,na,na,na,na,9380685,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,COT-6550,na,,Calibración Vigente,,,0,1,365.00,,,41066,6 de June del 2013,R&R Pendiente,R&R Actualizado,,44204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT112,Hypot ULTRA III,15/01/2021,15/01/2022,26/12/2021,Activo,EXTERNO,na,na,na,na,9380686,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,VAL-6652 ,na,,Calibración Vigente,,,0,1,365.00,,,41066,6 de June del 2013,R&R Pendiente,R&R Actualizado,,44204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT113,Báscula Electrica,17/06/2020,17/06/2021,28/05/2021,Activo,EXTERNO,1kg,1kg,.20kg,2000kg,1405171003,CERTIFICADO,almacen,almacen,Almacen ,N/A,,En Proceso de Calibración,,,0,1,365.00,365.00,,,26 de agosto del 2012,26 de agosto del 2013,R&R Actualizado,365,,5 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT114,Báscula OHAUS,12/09/2018,12/09/2019,23/08/2019,Baja,INTERNO,.01gr,.01gr,.01gr,100gr,,INT088,EDUARDO MARQUEZ,EDUARDO MARQUEZ,Planta Tecnology,N/A,,Baja,,,0,1,365.00,,,41092,2 de July del 2013,R&R Pendiente,R&R Actualizado,,43348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT116,Calibrador digitial,03/04/2021,03/04/2022,14/03/2022,Activo,INTERNO,".0005""",".0005""","0""","6""",9040906,INT062,Laboratoria,Juan Diaz / Adela Flores,Metrología ,n/a,,Calibración Vigente,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT117,Pressure gage,21/05/2021,21/05/2022,01/05/2022,Baja,EXTERNO,50psi,50psi,0,3500psi,CC3756,CERTIFICADO,produccion,Produccion,Yuh dak 1,n/a,,Baja,Marc instruments,FLOME,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT118,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 ºC,5 ºC,n/a,n/a,N/A,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,TRW-5875-000 YUH DAK 3,n/a,,Calibración Vigente,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT119,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 ºC,5 ºC,n/a,n/a,N/A,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,,n/a,,Calibración Vigente,,,0,1,365.00,,,41320,15 de February del 2014,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT121,Pressure Gage,21/05/2021,21/05/2022,01/05/2022,Baja,EXTERNO,n/a,n/a,0,3500psi,N/A,CERTIFICADO,produccion,Produccion,Yuh dak 1,n/a,,Baja,Marc instruments,FLOME,0,1,365.00,,,41383,19 de April del 2014,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT122,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 ºC,5 ºC,n/a,n/a,N/A,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,Yuh Dak 2,n/a,,Calibración Vigente,,,0,1,365.00,,,41403,9 de May del 2014,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT123,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 ºC,5 ºC,n/a,n/a,N/A,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,Chende ,n/a,,Calibración Vigente,,,0,1,365.00,365.00,,,15 de mayo del 2013,15 de mayo del 2014,R&R Actualizado,365,,4 de septiembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT124,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 ºC,5 ºC,n/a,n/a,N/A,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,,n/a,,Calibración Vigente,,,0,1,365.00,,,41475,20 de July del 2014,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT125,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 ºC,5 ºC,n/a,n/a,N/A,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,Nissie #1,n/a,,Calibración Vigente,,,0,1,365.00,365.00,,,14 de agosto del 2013,14 de agosto del 2014,R&R Actualizado,365,,4 de septiembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT126,Pressure Gage,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yuh dak 2 ,n/a,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,40843,26 de October del 2012,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT127,Pressure Gage,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yuh dak 2 ,n/a,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,41499,13 de August del 2014,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT128,Pressure Gage,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yuh dak 2 ,n/a,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,365.00,,40719,24 de June del 2012,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT129,Pressure Gage,05/05/2020,05/05/2021,15/04/2021,Baja,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yuh dak 3,n/a,,Baja,Marc instruments,FLOME,0,1,365.00,365.00,,40719,24 de June del 2012,R&R Pendiente,R&R Actualizado,,43949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT131,Calibrador digital,13/04/2020,13/04/2021,24/03/2021,Extraviado,INTERNO,".0005""",".0005""",0,"6""",11096020,INT062,Toxeros,Santos Mata,TALLER,n/a,,Extraviado,,,0,1,365.00,,,41653,14 de January del 2015,R&R Pendiente,R&R Actualizado,,43927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT132,Calibrador digital,13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,".0005""",".0005""",0,"12""",1053650,INT062,Incoming,Incoming,Incoming,n/a,,Calibración Vigente,,,0,1,365.00,,,41501,15 de August del 2014,R&R Pendiente,R&R Actualizado,,44292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT133,Indicador ,10/04/2014,10/04/2015,21/03/2015,Baja,INTERNO,".001""",".001""",0,"1""",,INT062,supervisores ,,ESTAMPADO,n/a,,Baja,,1,1,365,365.00,,,41456,1 de July del 2014,R&R Pendiente,#VALUE!,,41732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT135,Juego de pin gage,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,".0002""",".0002""",".061""",".250""",05051942,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,n/a,,Calibración Vigente,,,0,1,365.00,,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,44104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT136,Juego de pin gage,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,".0002""",".0002""",".251""",".500""",05051942,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,n/a,,Calibración Vigente,,,0,1,365.00,,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,44104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT137,Juego de pin gage,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,".0003""",".0003""",".501""",".625""",05051942,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,n/a,,Calibración Vigente,,,0,1,365.00,,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,44104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT138,Juego de pin gage,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,".0003""",".0003""",".626""",".750""",05051942,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,n/a,,Calibración Vigente,,,0,1,365.00,,,41614,6 de December del 2014,R&R Pendiente,R&R Actualizado,,44104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT140,Hypot III AC/ MODEL 3605,20/07/2016,20/07/2017,30/06/2017,Baja,EXTERNO,GO,NO GO,N/A,N/A,,FLUKE/HP/EXTECH,MOLDEO,,,NA,,Baja,,,1,1,365.00,365.00,,,17 de January del 2014,17 de January del 2015,R&R Pendiente,365,,13 de July del 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT141,Bascula Ohaus,04/10/2018,04/10/2019,14/09/2019,Baja,INTERNO,1g,1g,0g,400g,,INT088,produccion,produccion,ETHICON,n/a,,Baja,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,43370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT142,Bascula Braunker,02/10/2020,02/10/2022,12/09/2022,Activo,INTERNO,1g,1g,0kg,10kg,14749,INT088,Hector Zambrano,Hector Zambrano,Estampados Bruderer 22-1,n/a,,Calibración Vigente,,,0,1,730.00,,,41656,17 de January del 2016,R&R Pendiente,R&R Actualizado,,44099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT143,Block Patrón,20/04/2021,20/04/2022,31/03/2022,Activo,EXTERNO,NA,NA,".0500""","4.000""",836,CERTIFICADO,CALIDAD,Juan Diaz/Adela Flores,Metrologia,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,,,41661,22 de January del 2015,R&R Pendiente,R&R Actualizado,,44299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT144,Block Patrón,31/05/2019,30/05/2020,10/05/2020,Reparacion,EXTERNO,NA,NA,".0500""","4.000""",,CERTIFICADO,Calidad,Juan Diaz/Adela Flores,Metrologia Planta Angel Leaño,NA,,Reparacion,,,0,1,365.00,,,41661,22 de January del 2015,R&R Pendiente,R&R Actualizado,,43609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT145,Indicador de carátula,21/10/2020,21/10/2021,01/10/2021,Activo,INTERNO,".0001""",".0001""",0,"1""",MKY368,INT062/INT143,uso general,Santos Mata y Oscar Galindo, ,N/A,,Calibración Vigente,,,0,1,365.00,,,41666,27 de January del 2015,R&R Pendiente,R&R Actualizado,,44118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT146,Mesa de Granito,12/11/2020,12/11/2021,23/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Taller,Santos Mata y Oscar Galindo,CUARTO DE EDM's ,n/a,,Calibración Vigente,,,0,1,365.00,,,41677,7 de February del 2015,R&R Pendiente,R&R Actualizado,,44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT147,Mesa de Granito,12/11/2020,12/11/2021,23/10/2021,Activo,EXTERNO,N/A,N/A,30,60,860182,CERTIFICADO,Taller,Santos Mata y Oscar Galindo,CUARTO DE EDM's ,n/a,,Calibración Vigente,,,0,1,365.00,,,41688,18 de February del 2015,R&R Pendiente,R&R Actualizado,,44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT148,Mesa de Granito,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,"24""","36""",CD4562,CERTIFICADO,CNC,CNC,Taller CNC,n/a,,Calibración Vigente,,,0,1,730.00,,,41864,12 de August del 2016,R&R Pendiente,R&R Actualizado,,43965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT149,Mesa de Granito,12/11/2020,12/11/2021,23/10/2021,Activo,EXTERNO,N/A,N/A,"24""","36""",,CERTIFICADO,Taller,Santos Mata y Oscar Galindo,CUARTO DE EDM's ,n/a,,Calibración Vigente,,,0,1,365.00,,,41758,29 de April del 2015,R&R Pendiente,R&R Actualizado,,44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT152,Cámara de visión,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,GO,NO GO,NA,NA,,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Linea EES-5107 ,NA,,Calibración Vigente,,,0,1,365.00,,,41864,13 de August del 2015,R&R Pendiente,R&R Actualizado,,44104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT153,Cabeza Mecrometrica ,09/04/2021,09/04/2022,20/03/2022,Activo,EXTERNO,".0002""",".0002""",0,"2""",164-162,CERTIFICADO,Laboratorio Metrología,Juan Diaz/Adela Flores,Metrología ,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,,,41864,13 de August del 2015,R&R Pendiente,R&R Actualizado,,44288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT154,Hypot Ultra III/ AC Hipot,14/01/2020,13/01/2021,24/12/2020,Extraviado,EXTERNO,GO,NO GO,NA,NA,9380209,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,,NA,,Extraviado,,,0,1,365.00,,,41888,6 de September del 2015,R&R Pendiente,R&R Actualizado,,43837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT155,Hipot Tester Guardian 1030S,20/07/2020,20/07/2021,30/06/2021,Activo,EXTERNO,GO,NO GO,NA,NA,G1030S000169,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,VAL-5060/5061,NA,,Calibración Vigente,,,0,1,365.00,,,41842,22 de July del 2015,R&R Pendiente,R&R Actualizado,,44025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT157,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 °C,5 °C,NA,NA,,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,Nisse #3 TRW-5874-000,NA,,Calibración Vigente,,,0,1,365.00,,,41913,1 de October del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT158,Control de Temperatura,09/09/2019,08/09/2020,19/08/2020,Baja,EXTERNO,5 °C,5 °C,NA,NA,,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,,NA,,Baja,,,0,1,365.00,,,41926,14 de October del 2015,R&R Pendiente,R&R Actualizado,,43710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT159,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5 °C,5 °C,NA,NA,,CERTIFICADO,Procesos /Produccion,Procesos /Produccion,,NA,,Calibración Vigente,,,0,1,365.00,,,41936,24 de October del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
